Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 24512 rows, 15551 columns and 49633 nonzeros
Model fingerprint: 0xbf6bcc7d
Variable types: 15030 continuous, 521 integer (521 binary)
Coefficient statistics:
  Matrix range     [1e-03, 1e+03]
  Objective range  [4e-05, 1e+03]
  Bounds range     [8e+01, 8e+02]
  RHS range        [2e-01, 1e+03]
Found heuristic solution: objective 22154.847855
Presolve removed 12126 rows and 12037 columns
Presolve time: 0.23s
Presolved: 12386 rows, 3514 columns, 28361 nonzeros
Variable types: 2996 continuous, 518 integer (518 binary)

Root relaxation: objective 8.921210e+03, 3464 iterations, 0.35 seconds (0.29 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 9970.19729    0  260 15810.2992 9970.19729  36.9%     -   10s
     0     0 9970.79392    0  255 15810.2992 9970.79392  36.9%     -   10s
     0     0 9971.53281    0  240 15810.2992 9971.53281  36.9%     -   11s
     0     0 9972.12642    0  247 15810.2992 9972.12642  36.9%     -   11s
     0     0 9972.54302    0  244 15810.2992 9972.54302  36.9%     -   11s
     0     0 9973.15301    0  242 15810.2992 9973.15301  36.9%     -   11s
     0     0 9973.89412    0  257 15810.2992 9973.89412  36.9%     -   12s
     0     0 9974.35089    0  260 15810.2992 9974.35089  36.9%     -   12s
     0     0 9974.95485    0  231 15810.2992 9974.95485  36.9%     -   12s
     0     0 9975.19437    0  244 15810.2992 9975.19437  36.9%     -   12s
     0     0 9975.88670    0  270 15810.2992 9975.88670  36.9%     -   12s
     0     0 9976.37351    0  216 15810.2992 9976.37351  36.9%     -   12s
     0     0 9976.97256    0  264 15810.2992 9976.97256  36.9%     -   12s
     0     0 9977.43051    0  243 15810.2992 9977.43051  36.9%     -   13s
     0     0 9978.02526    0  227 15810.2992 9978.02526  36.9%     -   13s
     0     0 9978.67152    0  232 15810.2992 9978.67152  36.9%     -   13s
     0     0 9979.08437    0  227 15810.2992 9979.08437  36.9%     -   13s
     0     0 9979.41032    0  239 15810.2992 9979.41032  36.9%     -   13s
     0     0 9979.81179    0  246 15810.2992 9979.81179  36.9%     -   13s
     0     0 9980.10800    0  231 15810.2992 9980.10800  36.9%     -   13s
     0     0 9980.35229    0  231 15810.2992 9980.35229  36.9%     -   13s
     0     0 9980.78771    0  223 15810.2992 9980.78771  36.9%     -   13s
     0     0 9981.24877    0  223 15810.2992 9981.24877  36.9%     -   13s
     0     0 9982.01331    0  218 15810.2992 9982.01331  36.9%     -   14s
