Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 40209 rows, 30733 columns and 81209 nonzeros
Model fingerprint: 0x46ccd54a
Variable types: 30030 continuous, 703 integer (703 binary)
Coefficient statistics:
  Matrix range     [5e-04, 1e+03]
  Objective range  [1e-04, 1e+03]
  Bounds range     [9e+01, 9e+02]
  RHS range        [1e-01, 1e+03]
Found heuristic solution: objective 22210.615470
Presolve removed 27062 rows and 27063 columns
Presolve time: 0.31s
Presolved: 13147 rows, 3670 columns, 30098 nonzeros
Variable types: 2969 continuous, 701 integer (701 binary)

Root relaxation: objective 1.059922e+04, 3748 iterations, 0.36 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 11611.6655    0  282 16379.0125 11611.6655  29.1%     -   13s
     0     0 11816.2665    0  311 16379.0125 11816.2665  27.9%     -   14s
H    0     0                    16239.077530 11816.2763  27.2%     -   14s
     0     0 11820.5446    0  373 16239.0775 11820.5446  27.2%     -   15s
     0     0 11821.5613    0  322 16239.0775 11821.5613  27.2%     -   15s
     0     0 11822.1409    0  320 16239.0775 11822.1409  27.2%     -   15s
     0     0 11822.9219    0  318 16239.0775 11822.9219  27.2%     -   15s
     0     0 11823.4856    0  320 16239.0775 11823.4856  27.2%     -   16s
     0     0 11824.4980    0  321 16239.0775 11824.4980  27.2%     -   16s
     0     0 11825.0468    0  348 16239.0775 11825.0468  27.2%     -   16s
     0     0 11825.8865    0  336 16239.0775 11825.8865  27.2%     -   17s
     0     0 11826.4024    0  298 16239.0775 11826.4024  27.2%     -   17s
     0     0 11826.7431    0  301 16239.0775 11826.7431  27.2%     -   17s
     0     0 11987.4978    0  307 16239.0775 11987.4978  26.2%     -   19s
H    0     0                    13750.575878 11987.6801  12.8%     -   19s
     0     0 12012.4246    0  334 13750.5759 12012.4246  12.6%     -   19s
     0     0 12016.0230    0  329 13750.5759 12016.0230  12.6%     -   19s
     0     0 12018.6453    0  321 13750.5759 12018.6453  12.6%     -   20s
     0     0 12020.6331    0  332 13750.5759 12020.6331  12.6%     -   20s
     0     0 12021.7270    0  328 13750.5759 12021.7270  12.6%     -   20s
     0     0 12022.9174    0  323 13750.5759 12022.9174  12.6%     -   20s
     0     0 12023.6975    0  322 13750.5759 12023.6975  12.6%     -   20s
     0     0 12024.4859    0  311 13750.5759 12024.4859  12.6%     -   21s
     0     0 12024.9388    0  318 13750.5759 12024.9388  12.5%     -   21s
     0     0 12025.6933    0  311 13750.5759 12025.6933  12.5%     -   21s
     0     0 12026.1521    0  305 13750.5759 12026.1521  12.5%     -   21s
     0     0 12026.4928    0  298 13750.5759 12026.4928  12.5%     -   21s
     0     0 12155.2024    0  300 13750.5759 12155.2024  11.6%     -   23s
H    0     0                    13740.160788 12155.2365  11.5%     -   24s
     0     0 12165.7743    0  292 13740.1608 12165.7743  11.5%     -   24s
     0     0 12168.7540    0  293 13740.1608 12168.7540  11.4%     -   25s
     0     0 12170.3046    0  359 13740.1608 12170.3046  11.4%     -   25s
     0     0 12171.5722    0  287 13740.1608 12171.5722  11.4%     -   25s
     0     0 12172.5446    0  349 13740.1608 12172.5446  11.4%     -   25s
     0     0 12173.0849    0  321 13740.1608 12173.0849  11.4%     -   25s
     0     0 12175.8171    0  333 13740.1608 12175.8171  11.4%     -   26s
     0     0 12176.4145    0  312 13740.1608 12176.4145  11.4%     -   26s
     0     0 12176.8422    0  363 13740.1608 12176.8422  11.4%     -   26s
     0     0 12185.9227    0  341 13740.1608 12185.9227  11.3%     -   26s
H    0     0                    13569.592629 12185.9453  10.2%     -   27s
     0     0 12190.2742    0  348 13569.5926 12190.2742  10.2%     -   27s
     0     0 12191.3327    0  353 13569.5926 12191.3327  10.2%     -   28s
     0     0 12192.2029    0  332 13569.5926 12192.2029  10.2%     -   28s
     0     0 12192.7689    0  321 13569.5926 12192.7689  10.1%     -   28s
     0     0 12193.4056    0  330 13569.5926 12193.4056  10.1%     -   28s
     0     0 12193.9056    0  308 13569.5926 12193.9056  10.1%     -   28s
     0     0 12206.9944    0  352 13569.5926 12206.9944  10.0%     -   29s
     0     0 12220.5257    0  354 13569.5926 12220.5257  9.94%     -   30s
     0     0 12223.7115    0  348 13569.5926 12223.7115  9.92%     -   30s
     0     0 12225.6810    0  342 13569.5926 12225.6810  9.90%     -   31s
     0     0 12226.8551    0  346 13569.5926 12226.8551  9.90%     -   31s
     0     0 12228.5807    0  351 13569.5926 12228.5807  9.88%     -   31s
