Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 4081 rows, 2100 columns and 10421 nonzeros
Model fingerprint: 0x847cb0a7
Variable types: 100 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 5e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [1e-01, 7e+02]
Found heuristic solution: objective 282831.06700
Presolve removed 92 rows and 276 columns
Presolve time: 0.02s
Presolved: 3989 rows, 1824 columns, 10056 nonzeros
Variable types: 74 continuous, 1750 integer (1750 binary)

Root relaxation: objective 1.927707e+05, 3040 iterations, 0.16 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 194998.312    0  598 196940.831 194998.312  0.99%     -    2s
     0     0 195008.050    0  611 196940.831 195008.050  0.98%     -    2s
     0     0 195015.562    0  613 196940.831 195015.562  0.98%     -    2s
     0     0 195023.062    0  605 196940.831 195023.062  0.97%     -    2s
     0     0 195031.794    0  596 196940.831 195031.794  0.97%     -    2s
     0     0 195042.800    0  612 196940.831 195042.800  0.96%     -    3s
     0     0 195048.009    0  611 196940.831 195048.009  0.96%     -    3s
     0     0 195054.914    0  617 196940.831 195054.914  0.96%     -    3s
     0     0 195061.790    0  628 196940.831 195061.790  0.95%     -    3s
     0     0 195067.089    0  628 196940.831 195067.089  0.95%     -    3s
     0     0 195074.112    0  629 196940.831 195074.112  0.95%     -    3s
     0     0 195078.813    0  631 196940.831 195078.813  0.95%     -    3s
     0     0 195083.765    0  631 196940.831 195083.765  0.94%     -    3s
     0     0 195094.074    0  628 196940.831 195094.074  0.94%     -    3s
     0     0 195100.496    0  659 196940.831 195100.496  0.93%     -    3s
     0     0 195105.196    0  629 196940.831 195105.196  0.93%     -    3s
     0     0 195109.134    0  629 196940.831 195109.134  0.93%     -    3s
     0     0 195115.027    0  628 196940.831 195115.027  0.93%     -    3s
     0     0 195118.796    0  640 196940.831 195118.796  0.93%     -    3s
     0     0 195121.409    0  633 196940.831 195121.409  0.92%     -    3s
     0     0 195125.424    0  638 196940.831 195125.424  0.92%     -    3s
     0     0 195127.654    0  633 196940.831 195127.654  0.92%     -    3s
     0     0 195131.156    0  636 196940.831 195131.156  0.92%     -    3s
     0     0 195137.044    0  638 196940.831 195137.044  0.92%     -    4s
     0     0 195139.995    0  641 196940.831 195139.995  0.91%     -    4s
     0     0 195142.915    0  643 196940.831 195142.915  0.91%     -    4s
     0     0 195146.881    0  652 196940.831 195146.881  0.91%     -    4s
     0     0 195151.724    0  654 196940.831 195151.724  0.91%     -    4s
     0     0 195155.857    0  648 196940.831 195155.857  0.91%     -    4s
     0     0 195159.964    0  641 196940.831 195159.964  0.90%     -    4s
     0     0 195162.714    0  646 196940.831 195162.714  0.90%     -    4s
     0     0 195169.009    0  648 196940.831 195169.009  0.90%     -    4s
     0     0 195172.910    0  651 196940.831 195172.910  0.90%     -    4s
     0     0 195175.716    0  652 196940.831 195175.716  0.90%     -    4s
     0     0 195178.291    0  664 196940.831 195178.291  0.89%     -    4s
     0     0 195182.359    0  656 196940.831 195182.359  0.89%     -    4s
     0     0 195186.721    0  656 196940.831 195186.721  0.89%     -    4s
     0     0 195190.645    0  658 196940.831 195190.645  0.89%     -    4s
     0     0 195197.522    0  690 196940.831 195197.522  0.89%     -    5s
     0     0 195199.400    0  682 196940.831 195199.400  0.88%     -    5s
     0     0 195207.100    0  656 196940.831 195207.100  0.88%     -    5s
     0     0 195211.119    0  664 196940.831 195211.119  0.88%     -    5s
     0     0 195216.164    0  690 196940.831 195216.164  0.88%     -    5s
     0     0 195218.394    0  664 196940.831 195218.394  0.87%     -    5s
     0     0 195220.696    0  665 196940.831 195220.696  0.87%     -    5s
     0     0 195222.447    0  699 196940.831 195222.447  0.87%     -    5s
     0     0 195225.034    0  673 196940.831 195225.034  0.87%     -    5s
     0     0 195226.796    0  708 196940.831 195226.796  0.87%     -    5s
     0     0 195229.517    0  674 196940.831 195229.517  0.87%     -    5s
     0     0 195231.595    0  707 196940.831 195231.595  0.87%     -    5s
     0     0 195234.666    0  707 196940.831 195234.666  0.87%     -    5s
     0     0 195239.326    0  708 196940.831 195239.326  0.86%     -    5s
     0     0 195242.671    0  706 196940.831 195242.671  0.86%     -    5s
     0     0 195248.915    0  712 196940.831 195248.915  0.86%     -    6s
     0     0 195251.475    0  717 196940.831 195251.475  0.86%     -    6s
     0     0 195254.418    0  691 196940.831 195254.418  0.86%     -    6s
     0     0 195256.372    0  711 196940.831 195256.372  0.86%     -    6s
     0     0 195259.016    0  709 196940.831 195259.016  0.85%     -    6s
     0     0 195263.576    0  713 196940.831 195263.576  0.85%     -    6s
     0     0 195265.420    0  712 196940.831 195265.420  0.85%     -    6s
     0     0 195267.655    0  713 196940.831 195267.655  0.85%     -    6s
     0     0 195272.335    0  720 196940.831 195272.335  0.85%     -    6s
