Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 6121 rows, 2150 columns and 14735 nonzeros
Model fingerprint: 0xd44dcb51
Variable types: 150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 5e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [1e-01, 7e+02]
Found heuristic solution: objective 296850.69300
Presolve removed 108 rows and 123 columns
Presolve time: 0.05s
Presolved: 6013 rows, 2027 columns, 20235 nonzeros
Variable types: 115 continuous, 1912 integer (1912 binary)

Root relaxation: objective 2.516372e+05, 2803 iterations, 0.15 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 254704.498    0  705 256840.429 254704.498  0.83%     -    5s
     0     0 254712.845    0  715 256840.429 254712.845  0.83%     -    6s
     0     0 254717.735    0  727 256840.429 254717.735  0.83%     -    6s
     0     0 254723.124    0  673 256840.429 254723.124  0.82%     -    6s
     0     0 254729.298    0  717 256840.429 254729.298  0.82%     -    6s
     0     0 254736.905    0  703 256840.429 254736.905  0.82%     -    6s
     0     0 254746.163    0  718 256840.429 254746.163  0.82%     -    6s
     0     0 254752.583    0  745 256840.429 254752.583  0.81%     -    6s
     0     0 254761.865    0  743 256840.429 254761.865  0.81%     -    6s
     0     0 254766.646    0  733 256840.429 254766.646  0.81%     -    6s
     0     0 254770.215    0  738 256840.429 254770.215  0.81%     -    6s
     0     0 254776.215    0  741 256840.429 254776.215  0.80%     -    6s
     0     0 254782.539    0  754 256840.429 254782.539  0.80%     -    7s
     0     0 254791.587    0  733 256840.429 254791.587  0.80%     -    7s
     0     0 254798.740    0  755 256840.429 254798.740  0.79%     -    7s
     0     0 254807.519    0  759 256840.429 254807.519  0.79%     -    7s
     0     0 254814.132    0  727 256840.429 254814.132  0.79%     -    7s
     0     0 254822.427    0  730 256840.429 254822.427  0.79%     -    7s
