Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 6121 rows, 1150 columns and 13766 nonzeros
Model fingerprint: 0x2e1ef4a9
Variable types: 150 continuous, 1000 integer (1000 binary)
Coefficient statistics:
  Matrix range     [1e-03, 9e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 6e+02]
  RHS range        [2e-01, 7e+02]
Found heuristic solution: objective 352164.62500
Presolve removed 77 rows and 37 columns
Presolve time: 0.08s
Presolved: 6044 rows, 1113 columns, 19512 nonzeros
Variable types: 115 continuous, 998 integer (998 binary)

Root relaxation: objective 2.945352e+05, 1866 iterations, 0.11 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 302635.425    0  594 306146.542 302635.425  1.15%     -    5s
     0     0 302644.288    0  616 306146.542 302644.288  1.14%     -    6s
     0     0 302660.127    0  610 306146.542 302660.127  1.14%     -    6s
     0     0 302681.739    0  613 306146.542 302681.739  1.13%     -    6s
     0     0 302707.196    0  601 306146.542 302707.196  1.12%     -    6s
     0     0 302737.443    0  612 306146.542 302737.443  1.11%     -    6s
     0     0 302743.024    0  608 306146.542 302743.024  1.11%     -    6s
     0     0 302756.565    0  610 306146.542 302756.565  1.11%     -    6s
     0     0 302775.652    0  610 306146.542 302775.652  1.10%     -    6s
     0     0 302793.901    0  612 306146.542 302793.901  1.10%     -    7s
     0     0 302804.341    0  609 306146.542 302804.341  1.09%     -    7s
     0     0 302815.816    0  614 306146.542 302815.816  1.09%     -    7s
     0     0 302835.384    0  612 306146.542 302835.384  1.08%     -    7s
     0     0 302848.890    0  615 306146.542 302848.890  1.08%     -    7s
     0     0 302879.964    0  615 306146.542 302879.964  1.07%     -    7s
     0     0 302891.731    0  616 306146.542 302891.731  1.06%     -    7s
     0     0 302899.969    0  622 306146.542 302899.969  1.06%     -    7s
     0     0 302910.978    0  626 306146.542 302910.978  1.06%     -    7s
     0     0 302919.400    0  619 306146.542 302919.400  1.05%     -    7s
     0     0 302948.649    0  615 306146.542 302948.649  1.04%     -    8s
     0     0 302957.475    0  615 306146.542 302957.475  1.04%     -    8s
     0     0 302972.328    0  614 306146.542 302972.328  1.04%     -    8s
     0     0 302985.390    0  620 306146.542 302985.390  1.03%     -    8s
     0     0 303000.086    0  627 306146.542 303000.086  1.03%     -    8s
     0     0 303015.495    0  629 306146.542 303015.495  1.02%     -    8s
     0     0 303021.680    0  625 306146.542 303021.680  1.02%     -    8s
     0     0 303033.068    0  630 306146.542 303033.068  1.02%     -    8s
     0     0 303043.835    0  624 306146.542 303043.835  1.01%     -    8s
     0     0 303053.138    0  626 306146.542 303053.138  1.01%     -    9s
     0     0 303056.879    0  622 306146.542 303056.879  1.01%     -    9s
     0     0 303062.559    0  627 306146.542 303062.559  1.01%     -    9s
     0     0 303070.837    0  622 306146.542 303070.837  1.00%     -    9s
     0     0 303081.573    0  618 306146.542 303081.573  1.00%     -    9s
     0     0 303088.968    0  618 306146.542 303088.968  1.00%     -    9s
     0     0 303106.299    0  613 306146.542 303106.299  0.99%     -    9s
     0     0 303114.040    0  608 306146.542 303114.040  0.99%     -    9s
     0     0 303122.901    0  635 306146.542 303122.901  0.99%     -    9s
     0     0 303131.571    0  628 306146.542 303131.571  0.98%     -    9s
     0     0 303142.817    0  639 306146.542 303142.817  0.98%     -   10s
     0     0 303161.702    0  644 306146.542 303161.702  0.97%     -   10s
     0     0 303178.074    0  643 306146.542 303178.074  0.97%     -   10s
     0     0 303187.517    0  640 306146.542 303187.517  0.97%     -   10s
     0     0 303195.992    0  648 306146.542 303195.992  0.96%     -   10s
     0     0 303206.257    0  641 306146.542 303206.257  0.96%     -   10s
