Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 28259 rows, 2000 columns and 58735 nonzeros
Model fingerprint: 0x27fba8cc
Variable types: 650 continuous, 1350 integer (1350 binary)
Coefficient statistics:
  Matrix range     [1e-04, 6e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [8e+01, 2e+02]
  RHS range        [1e-01, 2e+02]
Found heuristic solution: objective 2538.1921787
Presolve removed 50 rows and 621 columns
Presolve time: 0.42s
Presolved: 28209 rows, 1379 columns, 57765 nonzeros
Found heuristic solution: objective 2240.8784651
Variable types: 30 continuous, 1349 integer (1349 binary)
Root relaxation presolved: 28209 rows, 1379 columns, 57765 nonzeros


Root relaxation: objective 1.931652e+03, 1213 iterations, 0.32 seconds (0.31 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2025.45243    0  682 2029.02568 2025.45243  0.18%     -   40s
     0     0 2025.46536    0  734 2029.02568 2025.46536  0.18%     -   41s
     0     0 2025.47575    0  728 2029.02568 2025.47575  0.17%     -   41s
     0     0 2025.49005    0  725 2029.02568 2025.49005  0.17%     -   42s
     0     0 2025.50905    0  739 2029.02568 2025.50905  0.17%     -   43s
     0     0 2025.52222    0  712 2029.02568 2025.52222  0.17%     -   44s
     0     0 2025.52718    0  742 2029.02568 2025.52718  0.17%     -   44s
     0     0 2025.53892    0  743 2029.02568 2025.53892  0.17%     -   46s
H    0     0                    2028.7400561 2025.53896  0.16%     -   46s
H    0     0                    2028.7203198 2025.53896  0.16%     -   46s
H    0     0                    2028.5470588 2025.53896  0.15%     -   46s
H    0     0                    2028.0001281 2025.53896  0.12%     -   46s
H    0     0                    2026.9251824 2025.53896  0.07%     -   46s
H    0     0                    2026.7434271 2025.53896  0.06%     -   46s
H    0     0                    2026.2257170 2025.53896  0.03%     -   46s
H    0     0                    2026.1709950 2025.53896  0.03%     -   46s
H    0     0                    2025.9639614 2025.53896  0.02%     -   46s
H    0     0                    2025.9050462 2025.53896  0.02%     -   46s
     0     0 2025.54410    0  676 2025.90505 2025.54410  0.02%     -   47s
     0     0 2025.54418    0  672 2025.90505 2025.54418  0.02%     -   47s
     0     0 2025.55547    0  715 2025.90505 2025.55547  0.02%     -   48s
     0     0 2025.55547    0  497 2025.90505 2025.55547  0.02%     -   49s
     0     0 2025.56490    0  682 2025.90505 2025.56490  0.02%     -   53s
     0     0 2025.56495    0  678 2025.90505 2025.56495  0.02%     -   53s
H    0     0                    2025.9035701 2025.56495  0.02%     -   53s
H    0     0                    2025.8780891 2025.56495  0.02%     -   53s
     0     0 2025.58024    0  610 2025.87809 2025.58024  0.01%     -   53s
     0     0 2025.58034    0  638 2025.87809 2025.58034  0.01%     -   53s
     0     0 2025.58039    0  613 2025.87809 2025.58039  0.01%     -   53s
     0     0 2025.59487    0  131 2025.87809 2025.59487  0.01%     -   54s
     0     0 2025.59498    0   79 2025.87809 2025.59498  0.01%     -   54s
     0     0 2025.59539    0  226 2025.87809 2025.59539  0.01%     -   54s
     0     0 2025.61810    0  161 2025.87809 2025.61810  0.01%     -   54s
     0     0 2025.61910    0  157 2025.87809 2025.61910  0.01%     -   54s
     0     0 2025.62764    0   96 2025.87809 2025.62764  0.01%     -   54s
     0     0 2025.63481    0  143 2025.87809 2025.63481  0.01%     -   55s
     0     0 2025.63838    0  155 2025.87809 2025.63838  0.01%     -   55s
