Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 4621 rows, 3150 columns and 12707 nonzeros
Model fingerprint: 0x58c595a6
Variable types: 150 continuous, 3000 integer (3000 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [5e-02, 7e+02]
Found heuristic solution: objective 230759.59600
Presolve removed 136 rows and 688 columns
Presolve time: 0.02s
Presolved: 4485 rows, 2462 columns, 11887 nonzeros
Variable types: 115 continuous, 2347 integer (2347 binary)

Root relaxation: objective 2.113600e+05, 4052 iterations, 0.28 seconds (0.37 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   721   495 212566.057   31  842 212898.807 212566.057  0.16%  85.1   56s
H  733   476                    212877.43800 212576.713  0.14%  83.7   60s
   747   486 212649.427   31  853 212877.438 212585.268  0.14%  82.2   66s
   757   492 212593.235   28  865 212877.438 212593.235  0.13%  81.1   70s
   768   500 212700.602   19  863 212877.438 212599.914  0.13%  79.9   75s
   772   502 212723.993   15  850 212877.438 212602.452  0.13%  79.5   80s
   782   509 212672.758   23  858 212877.438 212608.249  0.13%  78.5   86s
   788   513 212866.266   48  864 212877.438 212612.101  0.12%  77.9   90s
   794   517 212794.278   55  794 212877.438 212615.686  0.12%  77.3   95s
   803   523 212838.617   68  747 212877.438 212619.692  0.12%  76.4  100s
   816   533 212723.993   15  668 212877.438 212621.074  0.12%   166  105s
   823   537 212621.780   11  859 212877.438 212621.780  0.12%   164  111s
   830   542 212623.802   16  804 212877.438 212623.802  0.12%   163  115s
   835   545 212649.782   36  821 212877.438 212625.962  0.12%   162  120s
   845   552 212644.906   11  784 212877.438 212629.191  0.12%   160  125s
   851   556 212689.189   33  842 212877.438 212631.824  0.12%   159  130s
   859   561 212634.711    9  781 212877.438 212634.711  0.11%   157  135s
   865   565 212635.564   15  845 212877.438 212635.564  0.11%   156  142s
   873   572 212710.388   31  588 212877.438 212635.862  0.11%   193  145s
   887   581 212752.333   38  454 212877.438 212635.862  0.11%   202  150s
   917   597 212805.175   53  380 212877.438 212635.862  0.11%   209  155s
   973   625 212746.051   82  307 212877.438 212635.862  0.11%   212  160s
  1039   625 212645.434   29  726 212877.438 212635.863  0.11%   207  165s
  1071   639 212766.655   45  418 212877.438 212635.863  0.11%   220  170s
  1147   638 212637.137   29  823 212877.438 212637.137  0.11%   218  175s
  1169   651 212766.614   40  437 212877.438 212638.278  0.11%   228  180s
  1256   651 212847.718   85  179 212877.438 212638.278  0.11%   224  185s
  1289   654 212714.121   37  453 212877.438 212639.164  0.11%   228  190s
  1341   648 212720.084   32  451 212877.438 212639.165  0.11%   231  195s
  1371   655     cutoff   47      212877.438 212639.165  0.11%   239  200s
  1396   657 212664.157   39  549 212877.438 212642.182  0.11%   246  205s
  1413   661 212820.901   47  317 212877.438 212642.182  0.11%   251  211s
  1451   666 212736.698   67  465 212877.438 212642.182  0.11%   254  215s
  1500   662 212664.289   40  607 212877.438 212642.189  0.11%   256  220s
  1523   667 212709.552   52  433 212877.438 212642.189  0.11%   263  225s
  1556   665     cutoff   68      212877.438 212642.189  0.11%   265  230s
  1637   674 212800.574   70  291 212877.438 212643.255  0.11%   262  235s
  1690   679 212796.085   47  402 212877.438 212643.268  0.11%   260  240s
  1723   689 212692.104   50  371 212877.438 212643.682  0.11%   261  245s
  1817   726 212652.133   32  819 212877.438 212643.686  0.11%   256  251s
  1839   741 212740.480   52  499 212877.438 212643.686  0.11%   258  255s
  1888   752 212755.848   37  479 212877.438 212644.530  0.11%   256  260s
  1909   748 212661.588   41  660 212877.438 212644.658  0.11%   259  266s
  1941   754 212672.144   42  642 212877.438 212644.688  0.11%   261  270s
  1978   759 212675.658   42  735 212877.438 212646.151  0.11%   262  276s
  2006   765 212671.899   43  729 212877.438 212646.156  0.11%   264  281s
  2032   768     cutoff   52      212877.438 212646.905  0.11%   265  285s
  2067   771 212657.452   35  728 212877.438 212650.144  0.11%   269  291s
  2114   792 212805.138   62  478 212877.438 212650.376  0.11%   268  295s
  2178   805 212695.661   33  548 212877.438 212652.142  0.11%   269  300s
  2208   807 212732.822   41  543 212877.438 212657.190  0.10%   272  305s
  2281   822 212719.802   32  622 212877.438 212657.458  0.10%   271  310s
  2354   834 212697.349   35  707 212877.438 212658.482  0.10%   269  315s
  2412   839 212687.238   36  530 212877.438 212658.892  0.10%   269  320s
  2522   882 212689.771   42  655 212877.438 212661.602  0.10%   264  326s
  2583   921 212699.724   34  692 212877.438 212661.839  0.10%   261  330s
  2671   984 212674.732   34  709 212877.438 212663.216  0.10%   257  335s
  2726  1016 212719.095   42  516 212877.438 212664.290  0.10%   256  340s
  2799  1068 212755.263   46  440 212877.438 212668.626  0.10%   254  345s
H 2833  1088                    212873.70300 212668.627  0.10%   252  347s
  2888  1132 212762.324   46  492 212873.703 212669.956  0.10%   250  350s
  2944  1162     cutoff   38      212873.703 212671.705  0.09%   251  355s
H 2958  1173                    212873.70294 212671.705  0.09%   250  358s
  2958  1175 212781.720   51  390 212873.703 212671.705  0.09%   250  365s
  2983  1190 212852.224   45  324 212873.703 212671.908  0.09%   250  370s
  3041  1198 212690.982   44  609 212873.703 212672.083  0.09%   248  375s
  3131  1265 212701.686   43  673 212873.703 212672.597  0.09%   245  381s
  3183  1303 212813.620   46  153 212873.703 212673.097  0.09%   244  385s
  3252  1343 212809.284   59  243 212873.703 212674.795  0.09%   242  390s
  3305  1378     cutoff   43      212873.703 212675.087  0.09%   241  395s
  3400  1432 212720.406   45  621 212873.703 212675.123  0.09%   239  403s
  3447  1470 212873.108   87  193 212873.703 212675.123  0.09%   237  405s
  3509  1489 212706.261   45  641 212873.703 212675.603  0.09%   236  410s
  3590  1548 212756.109   58  388 212873.703 212675.810  0.09%   236  415s
  3704  1632 212789.495   82  317 212873.703 212676.199  0.09%   232  420s
  3846  1725 212717.753   44  290 212873.703 212678.383  0.09%   227  425s
  3933  1783 212729.420   45  492 212873.703 212679.610  0.09%   225  430s
  4024  1837 212837.261   70  282 212873.703 212679.677  0.09%   224  435s
  4083  1851 212727.004   35  663 212873.703 212680.702  0.09%   225  440s
  4175  1919 212829.186   47  286 212873.703 212681.336  0.09%   224  445s
  4260  1970 212742.442   46  478 212873.703 212681.737  0.09%   223  450s
  4375  2054 212795.683   70  276 212873.703 212682.639  0.09%   221  455s
  4529  2136 212810.097   39  255 212873.703 212685.007  0.09%   218  460s
  4597  2168 212754.909   65  586 212873.703 212685.974  0.09%   219  465s
  4674  2200     cutoff   40      212873.703 212686.747  0.09%   219  470s
  4806  2288 212758.478   53  418 212873.703 212687.939  0.09%   217  475s
  4877  2327 212703.636   38  538 212873.703 212689.442  0.09%   216  480s
  4982  2407 212827.130   78  113 212873.703 212689.771  0.09%   213  486s
  5026  2442 212792.057   76  375 212873.703 212690.222  0.09%   212  490s
H 5053  2454                    212873.70289 212690.658  0.09%   212  492s
  5108  2487 212844.975   83   94 212873.703 212690.658  0.09%   211  495s
  5223  2555 212719.373   39  530 212873.703 212691.466  0.09%   209  501s
  5285  2590 212811.511   71  100 212873.703 212691.466  0.09%   208  505s
  5368  2635 212837.378   72  126 212873.703 212691.995  0.09%   207  510s
  5444  2658 212768.043   62  205 212873.703 212692.255  0.09%   206  515s
  5524  2711 212758.974   49  496 212873.703 212693.102  0.08%   205  520s
  5617  2777     cutoff   88      212873.703 212693.560  0.08%   203  525s
  5667  2803 212800.752   75  350 212873.703 212693.889  0.08%   203  530s
  5717  2828 212731.852   37  526 212873.703 212694.279  0.08%   203  535s
  5780  2871     cutoff   54      212873.703 212694.479  0.08%   203  540s
  5832  2900 212735.300   48  209 212873.703 212694.658  0.08%   203  545s
  5918  2964 212774.963   46  467 212873.703 212695.951  0.08%   202  550s
  5995  3018 212777.280   33  551 212873.703 212696.035  0.08%   202  556s
  6049  3053 212765.695   60  326 212873.703 212696.669  0.08%   201  560s
  6095  3077 212777.236   41  498 212873.703 212696.850  0.08%   202  565s
  6139  3100 212716.887   52  371 212873.703 212697.020  0.08%   201  570s
  6184  3124 212782.673   55  405 212873.703 212697.060  0.08%   202  575s
  6283  3181 212777.506   69  268 212873.703 212697.743  0.08%   202  580s
  6371  3215 212726.499   39  560 212873.703 212699.082  0.08%   201  586s
  6398  3231 212744.177   36  532 212873.703 212699.269  0.08%   201  613s
  6442  3243     cutoff   43      212873.703 212699.329  0.08%   201  615s
  6471  3260 212839.932   54  411 212873.703 212699.626  0.08%   202  620s
  6549  3301 212738.595   34  557 212873.703 212700.112  0.08%   202  625s
  6616  3352 212799.403   54  388 212873.703 212700.376  0.08%   201  630s
  6697  3403 212736.343   51  339 212873.703 212700.585  0.08%   200  635s
  6759  3443 212720.604   39  560 212873.703 212700.631  0.08%   200  640s
  6825  3497 212793.415   58  147 212873.703 212700.676  0.08%   200  645s
  6903  3534 212792.889   53  320 212873.703 212700.975  0.08%   200  650s
  6973  3543 212753.871   51  463 212873.703 212701.356  0.08%   199  655s
  7007  3555 212774.540   75  385 212873.703 212701.420  0.08%   199  660s
  7102  3602 212761.427   44  585 212873.703 212702.156  0.08%   198  665s
  7154  3627 212797.210   48  507 212873.703 212702.859  0.08%   199  670s
  7216  3662     cutoff   44      212873.703 212703.002  0.08%   199  675s
  7267  3693 212726.385   53  350 212873.703 212703.195  0.08%   199  680s
  7316  3728 212780.290   54  255 212873.703 212703.441  0.08%   199  685s
  7391  3757 212728.346   42  550 212873.703 212703.710  0.08%   198  690s
  7426  3772 212719.143   44  376 212873.703 212703.950  0.08%   199  695s
  7484  3803 212812.908   59  200 212873.703 212704.200  0.08%   199  700s
  7508  3805 212734.958   44  449 212873.703 212704.716  0.08%   200  707s
  7531  3816 212829.314   47  382 212873.703 212704.889  0.08%   200  710s
  7618  3868 212834.849   65  191 212873.703 212705.541  0.08%   200  715s
  7686  3882 212759.722   54  450 212873.703 212706.001  0.08%   200  720s
  7818  3967 212795.126   77  304 212873.703 212706.377  0.08%   198  725s
  7873  4002 212805.717   62  189 212873.703 212706.669  0.08%   198  747s
  7906  4010     cutoff   52      212873.703 212706.800  0.08%   197  750s
  7961  4042 212791.047   58  187 212873.703 212707.106  0.08%   197  755s
  8117  4149 212773.156   39  376 212873.703 212707.659  0.08%   195  760s
  8159  4160 212800.991   40  550 212873.703 212707.692  0.08%   196  765s
  8202  4170     cutoff   36      212873.703 212707.757  0.08%   196  770s
H 8230  4184                    212873.70286 212707.919  0.08%   196  774s
  8241  4191     cutoff   57      212873.703 212708.209  0.08%   197  775s
  8288  4207 212772.096   76  453 212873.703 212708.816  0.08%   197  780s
  8385  4257 212714.910   68  543 212873.703 212709.276  0.08%   196  785s
  8421  4273 212749.303   47  530 212873.703 212709.379  0.08%   197  790s
  8488  4300 212786.375   62  195 212873.703 212709.632  0.08%   197  795s
  8568  4336 212801.280   42  452 212873.703 212710.020  0.08%   197  800s
  8689  4406 212771.967   32  593 212873.703 212710.492  0.08%   196  806s
  8752  4449 212740.753   68  508 212873.703 212710.517  0.08%   195  810s
  8820  4491 212744.838   42  404 212873.703 212711.094  0.08%   195  815s
  8903  4512     cutoff   58      212873.703 212711.239  0.08%   195  820s
  8988  4554 212744.472   41  481 212873.703 212711.801  0.08%   195  825s
  9075  4616 212836.078   39  216 212873.703 212712.083  0.08%   194  830s
