Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 3121 rows, 2150 columns and 8717 nonzeros
Model fingerprint: 0xe942c34a
Variable types: 150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 2e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [5e-02, 7e+02]
Found heuristic solution: objective 337927.99500
Presolve removed 126 rows and 480 columns
Presolve time: 0.06s
Presolved: 2995 rows, 1670 columns, 10887 nonzeros
Variable types: 115 continuous, 1555 integer (1555 binary)

Root relaxation: objective 2.831591e+05, 1951 iterations, 0.17 seconds (0.13 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 284584.310    0  295 285169.203 284584.310  0.21%     -   10s
     0     0 284584.310    0  276 285169.203 284584.310  0.21%     -   10s
     0     0 284584.310    0  291 285169.203 284584.310  0.21%     -   10s
     0     0 284589.018    0  260 285169.203 284589.018  0.20%     -   10s
     0     0 284593.215    0  301 285169.203 284593.215  0.20%     -   10s
     0     0 284593.756    0  268 285169.203 284593.756  0.20%     -   10s
     0     0 284609.427    0  362 285169.203 284609.427  0.20%     -   11s
     0     0 284611.992    0  297 285169.203 284611.992  0.20%     -   11s
     0     0 284612.724    0  345 285169.203 284612.724  0.20%     -   11s
     0     0 284635.395    0  340 285169.203 284635.395  0.19%     -   11s
     0     0 284639.470    0  307 285169.203 284639.470  0.19%     -   11s
     0     0 284641.225    0  354 285169.203 284641.225  0.19%     -   11s
     0     0 284641.657    0  315 285169.203 284641.657  0.18%     -   11s
     0     0 284656.215    0  281 285169.203 284656.215  0.18%     -   11s
     0     0 284660.552    0  283 285169.203 284660.552  0.18%     -   11s
     0     0 284661.728    0  323 285169.203 284661.728  0.18%     -   11s
     0     0 284665.065    0  373 285169.203 284665.065  0.18%     -   12s
     0     0 284665.073    0  370 285169.203 284665.073  0.18%     -   12s
H    0     0                    285148.18480 284665.130  0.17%     -   12s
H    0     0                    285143.71600 284665.130  0.17%     -   13s
     0     2 284665.130    0  370 285143.716 284665.130  0.17%     -   13s
    99    91     cutoff   62      285143.716 284668.250  0.17%  72.1   15s
H  135    97                    285135.71600 284668.324  0.16%  61.0   15s
   479   369 284710.897    2  387 285135.716 284681.610  0.16%  54.9   20s
   614   466 285090.186   26  299 285135.716 284697.171  0.15%  53.7   25s
   686   514 284820.770   10  284 285135.716 284820.770  0.11%  48.1   30s
   755   560 285045.545   59  308 285135.716 284870.638  0.09%  43.7   35s
   807   597 284884.597   20  326 285135.716 284884.597  0.09%  71.3   43s
   833   608 285081.458   38  216 285135.716 284884.597  0.09%  81.8   45s
  1011   629 285063.550   65  107 285135.716 284884.597  0.09%  93.7   50s
  1232   660 284932.160   38  269 285135.716 284904.830  0.08%  91.6   55s
  1543   704 284967.880   37  228 285135.716 284913.878  0.08%  86.2   60s
  1760   784 284935.653   37  291 285135.716 284922.026  0.07%  84.5   65s
  2162   854     cutoff   56      285135.716 284938.308  0.07%  85.8   70s
H 2369   853                    285124.91600 284947.687  0.06%  85.7   75s
  2750   963 285090.582   43  230 285124.916 284960.850  0.06%  84.3   80s
  3119  1124 285072.273   52  161 285124.916 284970.981  0.05%  83.5   85s
  3444  1215 285100.738   36  240 285124.916 284982.819  0.05%  84.1   90s
  3898  1358 285040.782   49  199 285124.916 284992.867  0.05%  82.6   95s
  4144  1478 285124.234   68   76 285124.916 284995.492  0.05%  81.0  100s
  4412  1573 285049.302   51  170 285124.916 285000.412  0.04%  80.3  105s
  4613  1614 285099.335   51  159 285124.916 285003.681  0.04%  80.3  110s
  4883  1686 285079.317   51  104 285124.916 285007.019  0.04%  79.7  115s
  5194  1765 285038.426   48  181 285124.916 285009.951  0.04%  78.6  120s
  5519  1882 285078.281   54  214 285124.916 285013.225  0.04%  77.1  125s
  5860  1986 285097.716   35  234 285124.916 285017.118  0.04%  76.1  130s
  6128  2066     cutoff   43      285124.916 285019.953  0.04%  75.4  135s
  6441  2155 285102.310   48  158 285124.916 285021.908  0.04%  74.8  140s
  6693  2212 285058.347   43  114 285124.916 285024.731  0.04%  74.0  145s
  6987  2304 285112.163   35  208 285124.916 285026.862  0.03%  73.4  150s
  7307  2373 285106.958   42  208 285124.916 285028.343  0.03%  72.7  155s
  7648  2456 285118.931   38  252 285124.916 285029.309  0.03%  72.3  160s
  7953  2531 285036.443   41  239 285124.916 285030.718  0.03%  71.7  165s
  8214  2571 285058.811   49  200 285124.916 285033.008  0.03%  71.4  170s
  8489  2665 285096.761   47  179 285124.916 285033.863  0.03%  70.7  175s
  8766  2725 285120.077   48  151 285124.916 285034.816  0.03%  70.1  180s
  9065  2771 285119.236   54  115 285124.916 285035.716  0.03%  69.9  185s
  9364  2843 285093.101   48  129 285124.916 285036.965  0.03%  69.5  190s
  9757  2931 285073.056   39  172 285124.916 285038.821  0.03%  68.9  195s
  9902  2961     cutoff   50      285124.916 285039.563  0.03%  69.0  200s
 10202  3031 285093.093   52  131 285124.916 285040.516  0.03%  68.8  240s
 10513  3095     cutoff   53      285124.916 285041.406  0.03%  68.6  245s
 10903  3179 285120.901   49  149 285124.916 285043.286  0.03%  68.4  250s
 11295  3271 285105.170   52  141 285124.916 285044.786  0.03%  68.1  255s
 11673  3292 285102.786   48  147 285124.916 285045.974  0.03%  68.1  260s
 12015  3329 285089.979   52  104 285124.916 285047.241  0.03%  68.3  265s
 12342  3360     cutoff   51      285124.916 285048.291  0.03%  68.6  270s
 12745  3418 285100.604   55  182 285124.916 285049.584  0.03%  68.8  275s
 12899  3441 285118.156   49  152 285124.916 285050.294  0.03%  68.9  280s
 13324  3462 285095.767   51  191 285124.916 285051.895  0.03%  69.3  285s
 13882  3523 285106.488   84  161 285124.916 285053.347  0.03%  69.3  290s
 14307  3559     cutoff   55      285124.916 285054.656  0.02%  69.6  295s
 14737  3574 285113.576   46  175 285124.916 285056.120  0.02%  70.0  300s
 15007  3587 285083.137   45  258 285124.916 285057.193  0.02%  70.1  305s
 15546  3606     cutoff   48      285124.916 285058.657  0.02%  70.3  310s
 16001  3628 285101.391   51  207 285124.916 285060.037  0.02%  70.6  315s
