Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 40151 rows, 7150 columns and 89997 nonzeros
Model fingerprint: 0x5b53b6fb
Variable types: 5150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [1e-04, 5e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [5e+01, 2e+02]
  RHS range        [2e-01, 3e+02]
Found heuristic solution: objective 8127.8666263
Presolve removed 150 rows and 5301 columns
Presolve time: 0.46s
Presolved: 40001 rows, 1849 columns, 120957 nonzeros
Found heuristic solution: objective 7353.9548934
Variable types: 100 continuous, 1749 integer (1749 binary)
Root relaxation presolved: 1849 rows, 41850 columns, 122806 nonzeros


Root relaxation: objective 6.383064e+03, 4403 iterations, 0.78 seconds (0.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6706.92446    0  895 6771.40615 6706.92446  0.95%     -   55s
     0     0 6708.64228    0  836 6771.40615 6708.64228  0.93%     -   57s
     0     0 6709.52342    0  871 6771.40615 6709.52342  0.91%     -   59s
     0     0 6709.84589    0  894 6771.40615 6709.84589  0.91%     -   60s
     0     0 6710.02053    0  915 6771.40615 6710.02053  0.91%     -   60s
     0     0 6710.08765    0  911 6771.40615 6710.08765  0.91%     -   61s
     0     0 6710.12193    0  908 6771.40615 6710.12193  0.91%     -   61s
     0     0 6711.38093    0  857 6771.40615 6711.38093  0.89%     -   63s
H    0     0                    6769.6692152 6711.38162  0.86%     -   64s
H    0     0                    6769.4941543 6711.38162  0.86%     -   64s
H    0     0                    6768.8303144 6711.38162  0.85%     -   64s
     0     0 6712.07115    0  879 6768.83031 6712.07115  0.84%     -   65s
     0     0 6712.28889    0  873 6768.83031 6712.28889  0.84%     -   66s
     0     0 6712.38007    0  873 6768.83031 6712.38007  0.83%     -   67s
     0     0 6712.41906    0  886 6768.83031 6712.41906  0.83%     -   67s
     0     0 6713.45293    0  866 6768.83031 6713.45293  0.82%     -   69s
H    0     0                    6768.1946374 6713.45527  0.81%     -   70s
     0     0 6714.04969    0  885 6768.19464 6714.04969  0.80%     -   71s
     0     0 6714.16623    0  891 6768.19464 6714.16623  0.80%     -   71s
     0     0 6714.24030    0  897 6768.19464 6714.24030  0.80%     -   72s
     0     0 6714.29060    0  899 6768.19464 6714.29060  0.80%     -   72s
     0     0 6715.27430    0  840 6768.19464 6715.27430  0.78%     -   74s
H    0     0                    6767.7184890 6715.27482  0.77%     -   75s
H    0     0                    6765.9513584 6715.27482  0.75%     -   75s
     0     0 6715.78845    0  879 6765.95136 6715.78845  0.74%     -   76s
     0     0 6715.92970    0  851 6765.95136 6715.92970  0.74%     -   77s
     0     0 6715.99818    0  872 6765.95136 6715.99818  0.74%     -   77s
     0     0 6716.68372    0  831 6765.95136 6716.68372  0.73%     -   80s
     0     0 6717.12574    0  860 6765.95136 6717.12574  0.72%     -   82s
     0     0 6717.25249    0  867 6765.95136 6717.25249  0.72%     -   82s
     0     0 6717.31401    0  887 6765.95136 6717.31401  0.72%     -   83s
     0     0 6717.82943    0  861 6765.95136 6717.82943  0.71%     -   85s
     0     0 6718.15802    0  872 6765.95136 6718.15802  0.71%     -   86s
     0     0 6718.25742    0  895 6765.95136 6718.25742  0.70%     -   86s
     0     0 6718.32982    0  891 6765.95136 6718.32982  0.70%     -   87s
     0     0 6718.36704    0  913 6765.95136 6718.36704  0.70%     -   87s
     0     0 6718.98777    0  870 6765.95136 6718.98777  0.69%     -   89s
     0     0 6719.38703    0  885 6765.95136 6719.38703  0.69%     -   91s
     0     0 6719.53621    0  872 6765.95136 6719.53621  0.69%     -   91s
     0     0 6719.61314    0  900 6765.95136 6719.61314  0.68%     -   92s
     0     0 6719.65283    0  896 6765.95136 6719.65283  0.68%     -   92s
     0     0 6720.01452    0  857 6765.95136 6720.01452  0.68%     -   94s
H    0     0                    6764.8315988 6720.01475  0.66%     -   94s
     0     0 6720.24790    0  855 6764.83160 6720.24790  0.66%     -   95s
     0     0 6720.30123    0  855 6764.83160 6720.30123  0.66%     -   95s
     0     0 6720.71124    0  868 6764.83160 6720.71124  0.65%     -   97s
     0     0 6721.00295    0  886 6764.83160 6721.00295  0.65%     -   99s
     0     0 6721.12498    0  898 6764.83160 6721.12498  0.65%     -   99s
     0     0 6721.18458    0  868 6764.83160 6721.18458  0.65%     -  100s
     0     0 6721.54996    0  879 6764.83160 6721.54996  0.64%     -  102s
     0     0 6721.80213    0  877 6764.83160 6721.80213  0.64%     -  103s
     0     0 6721.88820    0  877 6764.83160 6721.88820  0.63%     -  104s
     0     0 6721.92858    0  898 6764.83160 6721.92858  0.63%     -  104s
     0     0 6722.20879    0  881 6764.83160 6722.20879  0.63%     -  106s
H    0     0                    6764.4929624 6722.20993  0.63%     -  106s
     0     0 6722.37666    0  869 6764.49296 6722.37666  0.62%     -  107s
     0     0 6722.44178    0  901 6764.49296 6722.44178  0.62%     -  107s
     0     0 6722.64772    0  849 6764.49296 6722.64772  0.62%     -  109s
     0     0 6722.64799    0  849 6764.49296 6722.64799  0.62%     -  111s
H    0     0                    6764.0906223 6722.64805  0.61%     -  124s
H    0     0                    6763.9769974 6722.64805  0.61%     -  124s
H    0     0                    6763.3870291 6722.64805  0.60%     -  124s
H    0     0                    6763.2587527 6722.64805  0.60%     -  124s
H    0     0                    6762.7630154 6722.64805  0.59%     -  124s
     0     2 6722.64824    0  849 6762.76302 6722.64824  0.59%     -  124s
     1     3 6722.66295    1  834 6762.76302 6722.64824  0.59%  81.0  125s
    20    22 6724.14519   15  786 6762.76302 6722.64824  0.59%   179  130s
    31    33 6724.95925   21  781 6762.76302 6722.64824  0.59%   223  135s
    51    53 6725.26336   34  753 6762.76302 6722.64824  0.59%   204  140s
    68    70 6726.06471   45  746 6762.76302 6722.64824  0.59%   200  145s
    89    91 6726.99794   58  714 6762.76302 6722.64824  0.59%   193  150s
H  108   108                    6762.6651790 6722.64824  0.59%   189  154s
   117   119 6728.35120   77  664 6762.66518 6722.64824  0.59%   184  155s
   145   147 6730.00830   98  617 6762.66518 6722.64824  0.59%   171  160s
H  189   189                    6762.4156082 6722.64824  0.59%   145  164s
   196   198 6733.17815  137  527 6762.41561 6722.64824  0.59%   142  165s
   300   302 6737.53321  224  367 6762.41561 6722.64824  0.59%   104  170s
H  324   324                    6762.4125480 6722.64824  0.59%  97.6  170s
   468   468 6749.01542  349  199 6762.41255 6722.64824  0.59%  72.4  175s
   546   546 6757.42424  403  153 6762.41255 6722.64824  0.59%  64.3  180s
   572   572 6758.66515  426  132 6762.41255 6722.64824  0.59%  61.7  186s
   607   590 6734.93065  175  849 6762.41255 6722.69312  0.59%  59.5  217s
   609   591 6745.98154  330  879 6762.41255 6722.69312  0.59%  59.3  222s
   610   592 6731.77436  132  856 6762.41255 6722.69312  0.59%  59.2  234s
   611   593 6728.08828   65  825 6762.41255 6722.69312  0.59%  59.1  238s
   612   593 6746.11669  329  835 6762.41255 6722.69312  0.59%  59.0  240s
   622   600 6757.64615  404  914 6762.41255 6725.68820  0.54%  58.1  253s
   623   601 6757.16905  392  889 6762.41255 6726.37360  0.53%  58.0  255s
   635   609 6735.09751  183  917 6762.41255 6726.97157  0.52%  56.9  260s
   637   610 6731.11226  115  912 6762.41255 6729.05987  0.49%  56.7  271s
   639   611 6750.65891  366  939 6762.41255 6730.66828  0.47%  56.5  276s
   644   615 6733.24695  141  956 6762.41255 6731.01886  0.46%  56.1  280s
   652   620 6740.02211  266  932 6762.41255 6733.10372  0.43%  55.4  291s
   654   621 6734.07644   32  968 6762.41255 6734.07644  0.42%  55.2  296s
   660   625 6734.63340  168  985 6762.41255 6734.48362  0.41%  54.7  300s
   668   631 6736.18459  214  927 6762.41255 6736.18459  0.39%  54.1  314s
   669   631 6740.04803  263  928 6762.41255 6736.76736  0.38%  54.0  316s
   672   633 6737.29803  205  970 6762.41255 6737.29803  0.37%  53.7  320s
   685   642 6737.46596   25  984 6762.41255 6737.46596  0.37%  52.7  325s
   687   643 6757.16772  392  939 6762.41255 6738.75279  0.35%  52.6  336s
   689   645 6757.50564  406  975 6762.41255 6739.53047  0.34%  52.4  341s
   694   648 6749.10041  350  997 6762.41255 6739.82061  0.33%  52.0  345s
   703   654 6739.85321   30 1006 6762.41255 6739.85321  0.33%  51.4  350s
   704   655 6754.47479  385  974 6762.41255 6740.71496  0.32%  51.3  359s
   705   655 6758.37481  402  968 6762.41255 6741.09570  0.32%  51.2  362s
   707   657 6741.34222  175  979 6762.41255 6741.34222  0.31%  51.1  365s
   714   661 6746.91867  335 1003 6762.41255 6741.51634  0.31%  50.6  370s
   721   666 6754.37568  378  973 6762.41255 6742.18745  0.30%  50.1  381s
   723   667 6757.16905  392 1002 6762.41255 6742.63154  0.29%  49.9  386s
   726   669 6750.53726  359 1016 6762.41255 6742.82782  0.29%  49.7  390s
   738   677 6742.89766   36 1007 6762.41255 6742.89766  0.29%  48.9  396s
   739   678 6750.65891  366  975 6762.41255 6743.45116  0.28%  48.9  403s
   740   679 6743.68843   69  989 6762.41255 6743.68843  0.28%  48.8  406s
   743   681 6757.49104  402 1020 6762.41255 6743.97851  0.27%  48.6  410s
   752   687 6744.07871  266 1035 6762.41255 6744.07871  0.27%  48.0  415s
   756   689 6748.20684  345  993 6762.41255 6744.49370  0.26%  47.8  425s
   758   691 6744.86187  127 1008 6762.41255 6744.86187  0.26%  47.6  431s
   762   693 6745.02633   87 1037 6762.41255 6745.02633  0.26%  47.4  435s
   772   700 6745.07053  205 1031 6762.41255 6745.07053  0.26%  46.8  441s
   773   701 6749.10041  350  998 6762.41255 6745.41060  0.25%  46.7  447s
   775   702 6745.71934  316 1023 6762.41255 6745.71934  0.25%  46.6  451s
   778   704 6745.88218  242 1012 6762.41255 6745.88218  0.24%  46.4  455s
   788   711 6745.95190  187 1044 6762.41255 6745.95190  0.24%  45.8  462s
   789   711 6757.50564  406  973 6762.41255 6746.27706  0.24%  45.8  469s
   790   712 6746.45615   36  991 6762.41255 6746.45615  0.24%  45.7  472s
   791   713 6746.56564  181  998 6762.41255 6746.56564  0.23%  45.7  475s
   796   716 6746.72313  186 1006 6762.41255 6746.72313  0.23%  45.4  480s
   804   721 6754.47479  385 1017 6762.41255 6746.75071  0.23%  44.9  485s
   805   722 6758.37481  402 1011 6762.41255 6747.00604  0.23%  44.9  491s
   807   723 6747.27525  175 1027 6762.41255 6747.27525  0.22%  44.7  495s
   811   726 6747.41955   65 1043 6762.41255 6747.41955  0.22%  44.5  500s
   823   734 6757.16905  392 1049 6762.41255 6747.45523  0.22%  43.9  507s
   824   735 6747.61354  222 1013 6762.41255 6747.61354  0.22%  43.8  512s
   826   736 6750.53726  359  995 6762.41255 6747.76758  0.22%  43.7  515s
   834   741 6747.87742   18 1009 6762.41255 6747.87742  0.21%  43.3  520s
H  838   702                    6762.1749412 6748.08663  0.21%  43.1  530s
   842   705 6748.33983  138 1046 6762.17494 6748.33983  0.20%  42.9  535s
   849   709 6748.42531  290 1028 6762.17494 6748.42531  0.20%  42.5  540s
   854   713 6748.61832   32 1018 6762.17494 6748.61832  0.20%  42.3  550s
   857   715 6748.88378  243 1034 6762.17494 6748.88378  0.20%  42.1  556s
   862   718 6748.95852   87 1049 6762.17494 6748.95852  0.20%  41.9  560s
   870   723 6748.97207  335 1052 6762.17494 6748.97207  0.20%  41.5  565s
   871   724 6750.17403  355 1022 6762.17494 6749.14429  0.19%  41.5  570s
   875   727 6749.38048  316 1034 6762.17494 6749.38048  0.19%  41.3  575s
   881   731 6749.44960  129 1044 6762.17494 6749.44960  0.19%  41.0  580s
   888   735 6749.63785  187 1005 6762.17494 6749.63785  0.19%  40.7  589s
   889   736 6757.50564  406 1034 6762.17494 6749.72374  0.18%  40.6  591s
   891   737 6749.88260  181 1048 6762.17494 6749.88260  0.18%  40.5  596s
   897   741 6749.95090   91 1023 6762.17494 6749.95090  0.18%  40.3  600s
   905   747 6758.37481  402 1032 6762.17494 6749.96994  0.18%  39.9  605s
   906   747 6750.08443  214 1011 6762.17494 6750.08443  0.18%  39.9  610s
   909   749 6750.24730  330 1041 6762.17494 6750.24730  0.18%  39.7  616s
   915   753 6750.31101  263 1047 6762.17494 6750.31101  0.18%  39.5  620s
   921   757 6754.37568  378 1023 6762.17494 6750.42430  0.17%  39.2  629s
   922   758 6757.64615  404 1036 6762.17494 6750.51541  0.17%  39.2  631s
   925   760 6750.62239  237 1040 6762.17494 6750.62239  0.17%  39.0  635s
   935   767 6750.67044  183 1061 6762.17494 6750.67044  0.17%  38.6  640s
   939   769 6750.80049  366 1001 6762.17494 6750.80049  0.17%  38.5  648s
   940   770 6750.87132   69 1034 6762.17494 6750.87132  0.17%  38.4  650s
   944   773 6750.99687  141 1054 6762.17494 6750.99687  0.17%  38.3  655s
   950   777 6751.04806  188 1070 6762.17494 6751.04806  0.16%  38.0  660s
   959   783 6751.05848  136 1060 6762.17494 6751.05848  0.16%  37.7  665s
   960   783 6751.17182  168 1050 6762.17494 6751.17182  0.16%  37.6  671s
   963   785 6751.29454  164 1065 6762.17494 6751.29454  0.16%  37.5  676s
   970   790 6751.34498  335 1080 6762.17494 6751.34498  0.16%  37.2  680s
   978   795 6751.45102  242 1041 6762.17494 6751.45102  0.16%  36.9  686s
   982   798 6751.51437   77 1065 6762.17494 6751.51437  0.16%  36.8  690s
