Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 33021 rows, 33030 columns and 69085 nonzeros
Model fingerprint: 0xb2ea0021
Variable types: 30020 continuous, 3010 integer (3010 binary)
Coefficient statistics:
  Matrix range     [3e-04, 8e+02]
  Objective range  [3e-05, 1e+03]
  Bounds range     [9e+01, 6e+02]
  RHS range        [1e-01, 8e+02]
Found heuristic solution: objective 15947.139353
Presolve removed 27094 rows and 29159 columns
Presolve time: 0.16s
Presolved: 5927 rows, 3871 columns, 15815 nonzeros
Variable types: 2927 continuous, 944 integer (944 binary)

Root relaxation: objective 7.379555e+03, 2927 iterations, 0.09 seconds (0.12 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8164.03711    0  284 11533.4845 8164.03711  29.2%     -    6s
     0     0 8164.55650    0  284 11533.4845 8164.55650  29.2%     -    6s
     0     0 8165.30042    0  283 11533.4845 8165.30042  29.2%     -    6s
     0     0 8165.86560    0  288 11533.4845 8165.86560  29.2%     -    6s
     0     0 8166.52445    0  291 11533.4845 8166.52445  29.2%     -    6s
     0     0 8167.07227    0  285 11533.4845 8167.07227  29.2%     -    6s
     0     0 8168.18934    0  289 11533.4845 8168.18934  29.2%     -    6s
     0     0 8169.02782    0  288 11533.4845 8169.02782  29.2%     -    6s
     0     0 8169.74693    0  288 11533.4845 8169.74693  29.2%     -    6s
     0     0 8170.45689    0  282 11533.4845 8170.45689  29.2%     -    6s
     0     0 8171.22451    0  286 11533.4845 8171.22451  29.2%     -    6s
     0     0 8171.47426    0  292 11533.4845 8171.47426  29.1%     -    6s
     0     0 8171.93494    0  295 11533.4845 8171.93494  29.1%     -    6s
     0     0 8172.34817    0  295 11533.4845 8172.34817  29.1%     -    7s
     0     0 8172.68763    0  297 11533.4845 8172.68763  29.1%     -    7s
     0     0 8173.07482    0  300 11533.4845 8173.07482  29.1%     -    7s
     0     0 8173.50942    0  299 11533.4845 8173.50942  29.1%     -    7s
     0     0 8173.81735    0  299 11533.4845 8173.81735  29.1%     -    7s
     0     0 8174.08734    0  304 11533.4845 8174.08734  29.1%     -    7s
     0     0 8174.37174    0  302 11533.4845 8174.37174  29.1%     -    7s
     0     0 8174.59395    0  304 11533.4845 8174.59395  29.1%     -    7s
     0     0 8174.87358    0  309 11533.4845 8174.87358  29.1%     -    7s
     0     0 8175.14620    0  310 11533.4845 8175.14620  29.1%     -    7s
     0     0 8175.53802    0  313 11533.4845 8175.53802  29.1%     -    7s
     0     0 8175.86491    0  306 11533.4845 8175.86491  29.1%     -    7s
     0     0 8176.06137    0  304 11533.4845 8176.06137  29.1%     -    7s
     0     0 8176.30356    0  306 11533.4845 8176.30356  29.1%     -    7s
     0     0 8176.51850    0  302 11533.4845 8176.51850  29.1%     -    7s
     0     0 8176.87711    0  304 11533.4845 8176.87711  29.1%     -    7s
     0     0 8177.14958    0  310 11533.4845 8177.14958  29.1%     -    7s
     0     0 8177.47661    0  307 11533.4845 8177.47661  29.1%     -    8s
     0     0 8177.68762    0  309 11533.4845 8177.68762  29.1%     -    8s
     0     0 8177.84140    0  300 11533.4845 8177.84140  29.1%     -    8s
     0     0 8321.34632    0  314 11533.4845 8321.34632  27.9%     -    8s
     0     0 8326.63634    0  318 11533.4845 8326.63634  27.8%     -    9s
     0     0 8329.29670    0  320 11533.4845 8329.29670  27.8%     -    9s
     0     0 8331.43341    0  319 11533.4845 8331.43341  27.8%     -    9s
     0     0 8333.64616    0  320 11533.4845 8333.64616  27.7%     -    9s
     0     0 8335.68050    0  322 11533.4845 8335.68050  27.7%     -    9s
     0     0 8336.90351    0  319 11533.4845 8336.90351  27.7%     -   10s
     0     0 8338.89816    0  315 11533.4845 8338.89816  27.7%     -   10s
     0     0 8340.67270    0  313 11533.4845 8340.67270  27.7%     -   10s
     0     0 8342.06879    0  315 11533.4845 8342.06879  27.7%     -   10s
     0     0 8343.00763    0  319 11533.4845 8343.00763  27.7%     -   10s
     0     0 8525.49477    0  317 11533.4845 8525.49477  26.1%     -   12s
H    0     0                    10610.109129 8525.54963  19.6%     -   12s
     0     0 8537.96693    0  313 10610.1091 8537.96693  19.5%     -   12s
     0     0 8542.25562    0  326 10610.1091 8542.25562  19.5%     -   12s
     0     0 8545.20761    0  320 10610.1091 8545.20761  19.5%     -   13s
     0     0 8548.53009    0  318 10610.1091 8548.53009  19.4%     -   13s
     0     0 8550.28679    0  325 10610.1091 8550.28679  19.4%     -   13s
     0     0 8552.22909    0  317 10610.1091 8552.22909  19.4%     -   13s
     0     0 8554.43838    0  319 10610.1091 8554.43838  19.4%     -   13s
     0     0 8555.17857    0  322 10610.1091 8555.17857  19.4%     -   13s
     0     0 8566.96968    0  327 10610.1091 8566.96968  19.3%     -   15s
H    0     0                    10435.118149 8566.97317  17.9%     -   15s
     0     0 8571.17323    0  330 10435.1181 8571.17323  17.9%     -   15s
     0     0 8572.53717    0  334 10435.1181 8572.53717  17.8%     -   15s
     0     0 8633.24432    0  330 10435.1181 8633.24432  17.3%     -   17s
     0     0 8645.35018    0  321 10435.1181 8645.35018  17.2%     -   17s
     0     0 8651.46200    0  326 10435.1181 8651.46200  17.1%     -   18s
     0     0 8656.52881    0  317 10435.1181 8656.52881  17.0%     -   18s
     0     0 8660.37999    0  314 10435.1181 8660.37999  17.0%     -   18s
     0     0 8663.61763    0  331 10435.1181 8663.61763  17.0%     -   18s
     0     0 8666.20647    0  333 10435.1181 8666.20647  17.0%     -   18s
     0     0 8667.88878    0  337 10435.1181 8667.88878  16.9%     -   18s
     0     0 8670.94179    0  336 10435.1181 8670.94179  16.9%     -   19s
     0     0 8673.90036    0  337 10435.1181 8673.90036  16.9%     -   19s
     0     0 8675.39754    0  346 10435.1181 8675.39754  16.9%     -   19s
     0     0 8676.96116    0  340 10435.1181 8676.96116  16.8%     -   19s
     0     0 8678.00624    0  331 10435.1181 8678.00624  16.8%     -   19s
     0     0 8711.72386    0  370 10435.1181 8711.72386  16.5%     -   20s
     0     0 8724.30813    0  387 10435.1181 8724.30813  16.4%     -   21s
     0     0 8727.65182    0  389 10435.1181 8727.65182  16.4%     -   21s
     0     0 8730.47299    0  393 10435.1181 8730.47299  16.3%     -   21s
     0     0 8731.81967    0  391 10435.1181 8731.81967  16.3%     -   22s
     0     0 8744.38700    0  409 10435.1181 8744.38700  16.2%     -   23s
     0     0 8747.97905    0  416 10435.1181 8747.97905  16.2%     -   23s
