Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 7705 rows, 1093 columns and 16694 nonzeros
Model fingerprint: 0xc1d6583b
Variable types: 100 continuous, 993 integer (993 binary)
Coefficient statistics:
  Matrix range     [1e-03, 9e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 6e+02]
  RHS range        [2e-01, 7e+02]
Found heuristic solution: objective 183714.24400
Presolve removed 97 rows and 26 columns
Presolve time: 0.14s
Presolved: 7608 rows, 1067 columns, 21117 nonzeros
Extracted 3587 lazy constraints
Variable types: 75 continuous, 992 integer (992 binary)

Root relaxation: objective 1.463943e+05, 1753 iterations, 0.10 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 150476.329    0  809 154754.140 150476.329  2.76%     -    6s
     0     0 150484.161    0  815 154754.140 150484.161  2.76%     -    7s
     0     0 150498.200    0  816 154754.140 150498.200  2.75%     -    7s
     0     0 150507.762    0  813 154754.140 150507.762  2.74%     -    7s
     0     0 150515.262    0  806 154754.140 150515.262  2.74%     -    7s
     0     0 150522.356    0  818 154754.140 150522.356  2.73%     -    7s
     0     0 150527.330    0  819 154754.140 150527.330  2.73%     -    7s
     0     0 150531.549    0  824 154754.140 150531.549  2.73%     -    7s
     0     0 150539.825    0  819 154754.140 150539.825  2.72%     -    8s
     0     0 150545.148    0  821 154754.140 150545.148  2.72%     -    8s
     0     0 150550.171    0  828 154754.140 150550.171  2.72%     -    8s
     0     0 150558.118    0  829 154754.140 150558.118  2.71%     -    8s
     0     0 150568.286    0  824 154754.140 150568.286  2.70%     -    8s
     0     0 150575.376    0  829 154754.140 150575.376  2.70%     -    8s
     0     0 150579.792    0  831 154754.140 150579.792  2.70%     -    8s
     0     0 150583.700    0  810 154754.140 150583.700  2.69%     -    9s
     0     0 150589.815    0  794 154754.140 150589.815  2.69%     -    9s
     0     0 150596.354    0  828 154754.140 150596.354  2.69%     -    9s
     0     0 150603.534    0  825 154754.140 150603.534  2.68%     -    9s
